results_id,results_name,results_image,results_types,results_styles,results_latitude,results_longitude,results_isSpecialPin,results_rating,results_priceClass,results_address,results_city,results_hasOffer,results_distance,results_isClubMember,results_slug,results_HasReservation,totalResults,page,totalPages,data,url,update_date
afaa48d2-3184-4501-b3c3-4a3fd308b265,مارینو (بندرانزلی),https://2.fidilio.com/storage/Images/thumbs/74327e8c-ca8f-40f8-8600-642593961aa1.jpg,"[1, 2]","['ایرانی', 'کافه']",37.4660835,49.4667473,False,5.300000190734863,2.0,بندرانزلی،جنب پل تاریخی غازیان,بندر انزلی,False,0.1 km,False,marino_anzali,False,11,0,1,Radius=15000&SortBy=1&latitude=37.4667&longitude=49.4667&PageSize=1000&PageNumber=0&firstObjectLatEnabled=true&query=&isSpecialList=false,https://fidilio.com/restaurants/marino_anzali,2023-02-03 06:25:37.031342
2522f5d3-dc56-40a5-8b62-41c06ae77d0d,برگرسیتی (شهرری),https://2.fidilio.com/storage/Images/thumbs/bfe43fc5-b889-490a-a462-aa541438ad6f.jpg,[1],['فست فود'],35.61127,51.439167,False,0.0,1.0,"شهرری، پل سیمان، ابتدای خیابان سرگردمحمدی
",تهران,False,42.6 km,False,burgercity_shahrrey,False,42,0,1,Radius=15000&SortBy=1&latitude=35.308&longitude=51.7267&PageSize=1000&PageNumber=0&firstObjectLatEnabled=true&query=&isSpecialList=false,https://fidilio.com/restaurants/burgercity_shahrrey,2023-02-03 06:25:37.031342
3bb83e3f-33a8-486b-b7cf-65c9a2764634,گوزن (نیشابور),https://2.fidilio.com/storage/Images/thumbs/955006e7-4215-48f0-9847-4c2755864894.jpg,[2],['کافه'],36.2132721,58.7937431,False,0.0,2.0, بلوار بعثت، نبش بلوار شورا، روبروی بعثت 26,نیشابور,False,2.5 km,False,gavazn_neyshaboor,False,5,0,1,Radius=15000&SortBy=1&latitude=36.22&longitude=58.82&PageSize=1000&PageNumber=0&firstObjectLatEnabled=true&query=&isSpecialList=false,https://fidilio.com/restaurants/gavazn_neyshaboor,2023-02-03 06:25:37.031342
28f059e1-3710-42d2-8ac2-0a65240cd273,مهستان,https://2.fidilio.com/storage/Images/thumbs/9b3d1306-ad6a-476f-b778-68b5da960cbd.jpg,[1],"['سفره خانه', 'ایرانی']",36.371788,59.258,False,8.1,2.0, شاندیز، جاده ییلاقی ابرده، ابرده 10,ابرده,False,42.8 km,False,mahestan,False,5,0,1,Radius=15000&SortBy=1&latitude=36.22&longitude=58.82&PageSize=1000&PageNumber=0&firstObjectLatEnabled=true&query=&isSpecialList=false,https://fidilio.com/restaurants/mahestan,2023-02-03 06:25:37.031342
c2c404fc-d6e2-476f-a0ae-8214c01b2811,باقلوای لبنانی پاکان (حلویات بیروت),https://2.fidilio.com/storage/Images/thumbs/5ff71155-1cef-4b5c-8eac-69daf16ba2dc.jpg,[4],['شیرینی فروشی'],35.6209373,51.45958,False,7.5,2.0, تهران، دولت آباد، بلوار قدس، بعد از خیابان ۵۷، پ ۷۲,تهران,False,42.4 km,False,halaviyatbeyrot,False,42,0,1,Radius=15000&SortBy=1&latitude=35.308&longitude=51.7267&PageSize=1000&PageNumber=0&firstObjectLatEnabled=true&query=&isSpecialList=false,https://fidilio.com/restaurants/halaviyatbeyrot,2023-02-03 06:25:37.031342
4549befb-729e-4ab3-a208-8b1222637072,اسپی نل,https://2.fidilio.com/storage/images/Thumbs/078a6d82-ff64-42dd-a06b-13e2d8a31aae.jpg,[1],['فست فود'],35.60314,51.43104,False,0.0,2.0,شهرری، خ امام حسین(ع)(دیلمان) قبل از کوچه منتظری,تهران,False,42.4 km,False,spinel,False,42,0,1,Radius=15000&SortBy=1&latitude=35.308&longitude=51.7267&PageSize=1000&PageNumber=0&firstObjectLatEnabled=true&query=&isSpecialList=false,https://fidilio.com/restaurants/spinel,2023-02-03 06:25:37.031342
4bfff3bf-63b2-4699-9519-8adad587d7f4,سیاه و سفید,https://2.fidilio.com/storage/Images/thumbs/e7043b1c-05b6-4a1e-9ddb-46f101ba4983.jpg,[2],['کافه'],35.6042938,51.4343834,False,0.0,2.0,شهرری، میدان نماز، خیابان دیلمان شمالی، خیابان ایثار، پلاک ۱۶,تهران,False,42.3 km,False,siahosefid,False,42,0,1,Radius=15000&SortBy=1&latitude=35.308&longitude=51.7267&PageSize=1000&PageNumber=0&firstObjectLatEnabled=true&query=&isSpecialList=false,https://fidilio.com/restaurants/siahosefid,2023-02-03 06:25:37.031342
91957716-c4e5-489a-a981-7ec9ac4383f5,سرزمین سوخاری (دولت آباد),https://2.fidilio.com/storage/Images/thumbs/c18ee00c-3fa0-40b9-9c36-40f80e02d6c8.jpg,[1],['فست فود'],35.6201744,51.4609756,False,0.0,2.0,دولت اباد،انتهای بلوار قدس، بلوار چمران، مجتمع فرهنگیان، تی آر ۲,تهران,False,42.3 km,False,crispyland_dolatabad,False,42,0,1,Radius=15000&SortBy=1&latitude=35.308&longitude=51.7267&PageSize=1000&PageNumber=0&firstObjectLatEnabled=true&query=&isSpecialList=false,https://fidilio.com/restaurants/crispyland_dolatabad,2023-02-03 06:25:37.031342
a7b9e5b3-5cf3-4f63-96fa-9573d15c6b29,هفت,https://2.fidilio.com/storage/images/Thumbs/d0bcc8a2-5293-4723-a224-0be7801e3eec.jpg,[1],['فست فود'],35.60257,51.4342651,False,8.100000381469727,2.0,شهرری،خیابان دیلمان،بلوار امام حسین،پلاک ۶۸,تهران,False,42.2 km,False,haft_fastfood,False,42,0,1,Radius=15000&SortBy=1&latitude=35.308&longitude=51.7267&PageSize=1000&PageNumber=0&firstObjectLatEnabled=true&query=&isSpecialList=false,https://fidilio.com/restaurants/haft_fastfood,2023-02-03 06:25:37.031342
a264f9d3-7589-492a-b9a3-f9798925c01a,ارم (دولت آباد),https://2.fidilio.com/storage/Images/thumbs/2011349e-1d17-4db1-b47a-2fe1a9874673.jpg,[1],['ایرانی'],35.61856,51.46164,False,2.400000095367432,2.0,دولت اباد، انتهای بلوار قدس، میدان عزیزی، پلاک 74,تهران,False,42.1 km,False,eram_dolatabad,False,42,0,1,Radius=15000&SortBy=1&latitude=35.308&longitude=51.7267&PageSize=1000&PageNumber=0&firstObjectLatEnabled=true&query=&isSpecialList=false,https://fidilio.com/restaurants/eram_dolatabad,2023-02-03 06:25:37.031342
