lat,lng,api_data
37.0397,45.0983,Radius=15000&SortBy=1&latitude=37.0397&longitude=45.0983&PageSize=1000&PageNumber=0&firstObjectLatEnabled=true&query=&isSpecialList=false
29.5833,50.5167,Radius=15000&SortBy=1&latitude=29.5833&longitude=50.5167&PageSize=1000&PageNumber=0&firstObjectLatEnabled=true&query=&isSpecialList=false
30.8128,56.5639,Radius=15000&SortBy=1&latitude=30.8128&longitude=56.5639&PageSize=1000&PageNumber=0&firstObjectLatEnabled=true&query=&isSpecialList=false
35.7283,50.8133,Radius=15000&SortBy=1&latitude=35.7283&longitude=50.8133&PageSize=1000&PageNumber=0&firstObjectLatEnabled=true&query=&isSpecialList=false
32.3464,51.5044,Radius=15000&SortBy=1&latitude=32.3464&longitude=51.5044&PageSize=1000&PageNumber=0&firstObjectLatEnabled=true&query=&isSpecialList=false
37.0764,57.51,Radius=15000&SortBy=1&latitude=37.0764&longitude=57.51&PageSize=1000&PageNumber=0&firstObjectLatEnabled=true&query=&isSpecialList=false
36.1681,54.3481,Radius=15000&SortBy=1&latitude=36.1681&longitude=54.3481&PageSize=1000&PageNumber=0&firstObjectLatEnabled=true&query=&isSpecialList=false
34.74,60.7756,Radius=15000&SortBy=1&latitude=34.74&longitude=60.7756&PageSize=1000&PageNumber=0&firstObjectLatEnabled=true&query=&isSpecialList=false
32.3894,51.3764,Radius=15000&SortBy=1&latitude=32.3894&longitude=51.3764&PageSize=1000&PageNumber=0&firstObjectLatEnabled=true&query=&isSpecialList=false
34.0578,51.4842,Radius=15000&SortBy=1&latitude=34.0578&longitude=51.4842&PageSize=1000&PageNumber=0&firstObjectLatEnabled=true&query=&isSpecialList=false
37.7992,48.9053,Radius=15000&SortBy=1&latitude=37.7992&longitude=48.9053&PageSize=1000&PageNumber=0&firstObjectLatEnabled=true&query=&isSpecialList=false
35.8741,47.5937,Radius=15000&SortBy=1&latitude=35.8741&longitude=47.5937&PageSize=1000&PageNumber=0&firstObjectLatEnabled=true&query=&isSpecialList=false
36.1553,45.4789,Radius=15000&SortBy=1&latitude=36.1553&longitude=45.4789&PageSize=1000&PageNumber=0&firstObjectLatEnabled=true&query=&isSpecialList=false
31.2783,49.6064,Radius=15000&SortBy=1&latitude=31.2783&longitude=49.6064&PageSize=1000&PageNumber=0&firstObjectLatEnabled=true&query=&isSpecialList=false
35.2167,52.3333,Radius=15000&SortBy=1&latitude=35.2167&longitude=52.3333&PageSize=1000&PageNumber=0&firstObjectLatEnabled=true&query=&isSpecialList=false
